"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","disease_prevalence_class","disease_prevalence_geo_area","disease_prevalence_type","disease_inheritance","numCTsupportingAssociation","numPMIDs","chemsIncludedInEvidenceBySource","numChemsIncludedInEvidences","numPMIDSWithChemsIncludedInEvidences","numNCTSWithChemsIncludedInEvidences","score","yearInitial","yearFinal","evidence_level","evidence_index","diseaseid"
"SYT1",6857,"ENSG00000067715","protein-coding",0.526,0.913,0.99999,"P21579","DTO_05007405","Transporter","Infantile hypotonia, oculomotor anomalies, hyperkinetic movements, developmental delay syndrome","[disease]","C4748715","Behavior and Behavior Mechanisms (F01) | Nervous System Diseases (C10) | Pathological Conditions, Signs and Symptoms (C23) | Mental Disorders (F03)","Disease or Syndrome (T047)","","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal dominant",0,7,NA,NA,NA,NA,0.9,2013,2025,"Strong",1,"C4748715"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Schizophrenia","[disease]","C0036341","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,5,NA,NA,NA,NA,0.9,2001,2016,"Limited",0.75,"C0036341"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Muscular Dystrophies, Limb-Girdle","[disease]","C0686353","Musculoskeletal Diseases (C05) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the musculoskeletal system (33127) | Abnormality of limbs (40064)","1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","Netherlands,United Kingdom,Japan,Worldwide,Egypt,Spain,Ireland","Point prevalence,Point prevalence,Point prevalence,Point prevalence,Lifetime Prevalence,Point prevalence,Point prevalence","Autosomal dominant,Autosomal recessive",1,1,NA,NA,NA,NA,0.9,2012,2012,NA,1,"C0686353"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Hernia, Inguinal","[disease]","C0019294","Pathological Conditions, Signs and Symptoms (C23)","Anatomical Abnormality (T190)","disease of anatomical entity (7)","Abnormality of the digestive system (25031) | Abnormality of the musculoskeletal system (33127)","","","","",0,0,NA,NA,NA,NA,0.9,NA,NA,NA,0.923076923076923,"C0019294"
"RRAS2",22800,"ENSG00000133818","protein-coding",0.509,0.87,0.030991,"P62070","DTO_05007584","Enzyme modulator","Noonan Syndrome","[disease]","C0028326","Cardiovascular Diseases (C14) | Skin and Connective Tissue Diseases (C17) | Musculoskeletal Diseases (C05) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | syndrome (225)","","6-9 / 10 000,1-5 / 10 000","United States,Worldwide","Prevalence at birth,Point prevalence","Autosomal dominant,Autosomal recessive",0,6,NA,NA,NA,NA,0.85,1993,2022,"Definitive",1,"C0028326"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Neuropathy, Hereditary Sensory And Autonomic, Type IIB","[disease]","C2751092","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,3,NA,NA,NA,NA,0.85,1993,2014,"Definitive",0.9,"C2751092"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Periventricular Nodular Heterotopia","[disease]","C1868720","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","physical disorder (0080015) | disease of anatomical entity (7)","","","","","Autosomal dominant,Autosomal recessive,X-linked dominant",0,1,NA,NA,NA,NA,0.85,2016,2016,"Supportive",1,"C1868720"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Malignant mesothelioma","[disease]","C0345967","Respiratory Tract Diseases (C08) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566)","Neoplasm (02664)","","","","",1,1,NA,NA,NA,NA,0.85,2016,2016,NA,0.875,"C0345967"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Muscular Dystrophy","[disease]","C0026850","Musculoskeletal Diseases (C05) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the musculoskeletal system (33127)","","","","",1,0,NA,NA,NA,NA,0.85,NA,NA,NA,1,"C0026850"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathies","[disease]","C0878544","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",1,0,NA,NA,NA,NA,0.85,NA,NA,NA,0.96,"C0878544"
"RARS1",5917,"ENSG00000113643","protein-coding",0.575,0.87,1.1477e-16,"P54136","","","RARS-related autosomal recessive hypomyelinating leukodystrophy","[disease]","C4015323","Mental Disorders (F03) | Pathological Conditions, Signs and Symptoms (C23) | Behavior and Behavior Mechanisms (F01) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal recessive",0,12,NA,NA,NA,NA,0.8,2009,2021,"Definitive",1,"C4015323"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Atrial Fibrillation","[disease]","C0004238","Pathological Conditions, Signs and Symptoms (C23) | Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,2,NA,NA,NA,NA,0.8,2010,2018,NA,0.793103448275862,"C0004238"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Schizophrenia","[disease]","C0036341","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.8,2014,2014,NA,1,"C0036341"
"MICA",100507436,"ENSG00000204520","protein-coding",0.405,0.913,0.0031713,"Q29983","","","Liver carcinoma","[disease]","C2239176","Digestive System Diseases (C06) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the digestive system (25031) | Neoplasm (02664)","1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","United States,Europe,France,United Kingdom,Germany,Spain,Italy,Greece,Canada,Oceania,Latin America,China,Japan,Korea, Republic of,Mongolia,Africa,Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Poland,Portugal,Slovakia,Switzerland,Netherlands","Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence","Not applicable",1,1,NA,NA,NA,NA,0.8,2011,2011,NA,0.904761904761905,"C2239176"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Ataxia, Spinocerebellar","[disease]","C0087012","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.8,2010,2010,NA,1,"C0087012"
"PTPRN2",5799,"ENSG00000155093","protein-coding",0.562,0.87,4.8153e-15,"Q92932","","","Diabetes Mellitus, Insulin-Dependent","[disease]","C0011854","Immune System Diseases (C20) | Endocrine System Diseases (C19) | Nutritional and Metabolic Diseases (C18)","Disease or Syndrome (T047)","disease of metabolism (0014667) | genetic disease (630) | disease of anatomical entity (7)","Abnormality of metabolism/homeostasis (01939) | Abnormality of the endocrine system (00818)","","","","",0,0,NA,NA,NA,NA,0.8,NA,NA,NA,0.947368421052632,"C0011854"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated, 1DD","[disease]","C2750995","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,87,NA,NA,NA,NA,0.75,2009,2024,"Definitive",1,"C2750995"
"UGT1A10",54575,"ENSG00000242515","protein-coding",0.624,0.652,1.6232e-17,"Q9HAW8","","","Gilbert Disease","[disease]","C0017551","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of metabolism (0014667)","","","","","",0,64,NA,NA,NA,NA,0.75,1984,2021,NA,1,"C0017551"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Glaucoma, Open-Angle","[disease]","C0017612","Eye Diseases (C11)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the eye (00478)","","","","",0,13,NA,NA,NA,NA,0.75,1999,2024,"Moderate",1,"C0017612"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Muscular Dystrophy, Limb-Girdle, Type 1D","[disease]","C3501858","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10) | Musculoskeletal Diseases (C05)","Disease or Syndrome (T047)","","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal dominant",0,2,NA,NA,NA,NA,0.75,2012,2012,NA,1,"C3501858"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Hypertensive disease","[disease]","C0020538","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,2,NA,NA,NA,NA,0.75,2008,2013,NA,0.903225806451613,"C0020538"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Atrial Fibrillation","[disease]","C0004238","Pathological Conditions, Signs and Symptoms (C23) | Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,2,NA,NA,NA,NA,0.75,2018,2018,NA,1,"C0004238"
"VIPR2",7434,"ENSG00000106018","protein-coding",0.565,0.87,8.2204e-13,"P41587","DTO_02300001","G-protein coupled receptor","Schizophrenia","[disease]","C0036341","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.75,2011,2011,NA,0.95,"C0036341"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Blast Phase","[disease]","C0005699","Neoplasms (C04) | Pathological Conditions, Signs and Symptoms (C23) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","","","","","","",0,1,NA,NA,NA,NA,0.75,2011,2011,NA,0.672727272727273,"C0005699"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Cutis Laxa","[disease]","C0010495","Skin and Connective Tissue Diseases (C17) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the integument (01574)","1-9 / 1 000 000","Europe","Prevalence at birth","Autosomal dominant,Autosomal recessive,Not applicable,X-linked recessive",1,0,NA,NA,NA,NA,0.75,NA,NA,NA,0.5,"C0010495"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Retinal Dystrophies","[disease]","C0854723","Eye Diseases (C11)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the eye (00478)","","","","",0,16,NA,NA,NA,NA,0.7,1999,2022,NA,1,"C0854723"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Hereditary Sensory and Autonomic Neuropathies","[disease]","C0027889","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,9,NA,NA,NA,NA,0.7,1988,2023,"Definitive",0.916666666666667,"C0027889"
"RRAS2",22800,"ENSG00000133818","protein-coding",0.509,0.87,0.030991,"P62070","DTO_05007584","Enzyme modulator","NOONAN SYNDROME 12","[disease]","C5231432","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Cardiovascular Diseases (C14) | Musculoskeletal Diseases (C05) | Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","genetic disease (630) | syndrome (225)","","","","","",0,5,NA,NA,NA,NA,0.7,1993,2019,"Definitive",1,"C5231432"
"IQSEC1",9922,"ENSG00000144711","protein-coding",0.619,0.783,0.99606,"Q6DN90","","","INTELLECTUAL DEVELOPMENTAL DISORDER WITH SHORT STATURE AND BEHAVIORAL ABNORMALITIES","[disease]","C5231462","","Disease or Syndrome (T047)","syndrome (225) | genetic disease (630)","","","","","",0,4,NA,NA,NA,NA,0.7,2017,2019,"Strong",1,"C5231462"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Hypertrophic Cardiomyopathy","[disease]","C0007194","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,2,NA,NA,NA,NA,0.7,2021,2022,"Limited",1,"C0007194"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","ZIMMERMANN-LABAND SYNDROME 3","[disease]","C5231447","","Disease or Syndrome (T047)","","","","","","",0,1,NA,NA,NA,NA,0.7,2019,2019,"Strong",1,"C5231447"
"TTC21A",199223,"ENSG00000168026","protein-coding",0.681,0.565,4.2204e-32,"Q8NDW8","","","SPERMATOGENIC FAILURE 37","[disease]","C5193091","","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.7,2019,2019,"Strong",1,"C5193091"
"LOXL2",4017,"ENSG00000134013","protein-coding",0.504,0.783,3.7873e-16,"Q9Y4K0","","","Squamous cell carcinoma of esophagus","[disease]","C0279626","Digestive System Diseases (C06) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","Europe,Europe,Europe,Worldwide,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,France,Germany,Iceland,Ireland,Italy,Latvia,Lithuania,Malta,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Switzerland,Netherlands,United Kingdom","Annual incidence,Point prevalence,Lifetime Prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence","Multigenic/multifactorial,Not applicable",0,1,NA,NA,NA,NA,0.7,2014,2014,NA,1,"C0279626"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Precursor T-Cell Lymphoblastic Leukemia-Lymphoma","[disease]","C1961099","Immune System Diseases (C20) | Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","","Abnormality of the immune system (02715) | Neoplasm (02664) | Abnormality of blood and blood-forming tissues (01871)","","","","Not applicable",0,0,NA,NA,NA,NA,0.7,NA,NA,NA,0.857142857142857,"C1961099"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Aortic Aneurysm, Thoracic","[disease]","C0162872","Cardiovascular Diseases (C14)","Anatomical Abnormality (T190)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,0,NA,NA,NA,NA,0.7,NA,NA,NA,1,"C0162872"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Seizures","[phenotype]","C0036572","Nervous System Diseases (C10) | Pathological Conditions, Signs and Symptoms (C23)","Sign or Symptom (T184)","","Abnormality of the nervous system (00707)","","","","",0,0,NA,NA,NA,NA,0.7,NA,NA,NA,0.857142857142857,"C0036572"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Cerebellar Ataxia","[disease]","C0007758","Pathological Conditions, Signs and Symptoms (C23) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the nervous system (00707)","","","","",0,0,NA,NA,NA,NA,0.7,NA,NA,NA,0.875,"C0007758"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Pulmonary Emphysema","[disease]","C0034067","Respiratory Tract Diseases (C08) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","","Abnormality of the respiratory system (02086)","","","","",0,0,NA,NA,NA,NA,0.7,NA,NA,NA,1,"C0034067"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Menkes Kinky Hair Syndrome","[disease]","C0022716","Skin and Connective Tissue Diseases (C17) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nutritional and Metabolic Diseases (C18) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of metabolism (0014667) | genetic disease (630)","","1-9 / 1 000 000,1-9 / 100 000","Japan,Australia","Prevalence at birth,Prevalence at birth","X-linked recessive",0,0,NA,NA,NA,NA,0.7,NA,NA,NA,0.75,"C0022716"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Myofibrillar Myopathy","[disease]","C2678065","Musculoskeletal Diseases (C05) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the musculoskeletal system (33127)","","","","Autosomal dominant,Autosomal recessive",0,0,NA,NA,NA,NA,0.7,NA,NA,NA,1,"C2678065"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Macular dystrophy","[disease]","C0730292","Eye Diseases (C11)","Disease or Syndrome (T047)","","Abnormality of the eye (00478)","","","","",0,0,NA,NA,NA,NA,0.7,NA,NA,NA,1,"C0730292"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Hypertensive disease","[disease]","C0020538","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,0,NA,NA,NA,NA,0.7,NA,NA,NA,1,"C0020538"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Intellectual Disability","[disease]","C3714756","Mental Disorders (F03) | Pathological Conditions, Signs and Symptoms (C23) | Behavior and Behavior Mechanisms (F01) | Nervous System Diseases (C10)","Mental or Behavioral Dysfunction (T048)","","Abnormality of the nervous system (00707)","","","","",0,6,NA,NA,NA,NA,0.65,2011,2021,NA,1,"C3714756"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Familial dilated cardiomyopathy","[disease]","C0340427","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","","","","","","",0,5,NA,NA,NA,NA,0.65,2009,2019,NA,1,"C0340427"
