PMID,Title,Abstract,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,primero_criteria_met (Y/N),primero_category,primero_explanation
23332324,Child abuse and epigenetic mechanisms of disease risk,"Child abuse is highly prevalent and associated with increased risk for a range of health problems, including cancer, cardiovascular disease, diabetes, psychiatric disorders, and other health problems. Little is currently known about the mechanism by which early adversity confers risk for health problems later in life. To determine if there are epigenetic differences associated with child maltreatment that may help explain association between adverse childhood experiences and later health problems. As part of a study examining genetic and environmental factors associated with depression, saliva DNA specimens were collected on 96 maltreated children removed from their parents due to abuse or neglect and 96 demographically matched control children between 2003 and 2010. In 2011, the Illumina 450K BeadChip was used on stored DNA specimens and analyzed to examine whole-genome methylation differences between maltreated and control children. After controlling for multiple comparisons, maltreated and control children had significantly different methylation values at 2868 CpG sites (p<5.0 × 10(-7), all sites; average methylation difference per site=17%; range=1%-62%). The gene set contained numerous markers of diseases and biological processes related to the health problems associated with early childhood adversity. Although replication is required, this study suggests that epigenetic mechanisms may be associated with risk for health problems later in life in maltreated children. This study lays the groundwork for future studies examining health and methylation measures to further characterize the role of epigenetic mechanisms in conferring risk for medical problems in individuals with histories of early adversity.","Yang BZ, Zhang H, Ge W, Weder N, Douglas-Palumberi H, Perepletchikova F, Gelernter J, Kaufman J.",Am J Prev Med. 2013 Feb;44(2):101-7. doi: 10.1016/j.amepre.2012.10.012.,Yang BZ,Am J Prev Med,2013,1/22/2013,PMC3758252,NIHMS429604,10.1016/j.amepre.2012.10.012,Y,Included,EWAS of child maltreatment using 450k array
27643477,Epigenetic signatures of childhood abuse and neglect: Implications for psychiatric vulnerability,"Childhood maltreatment is a key risk factor for poor mental and physical health. Recently, variation in epigenetic processes, such as DNA methylation, has emerged as a potential pathway mediating this association; yet, the extent to which different forms of maltreatment may be characterized by unique vs shared epigenetic signatures is currently unknown. In this study, we quantified DNA methylation across the genome in buccal epithelial cell samples from a high-risk sample of inner-city youth (n = 124; age = 16-24; 53% female), 68% of whom reported experiencing at least one form of maltreatment while growing up. Our analyses aimed to identify methylomic variation associated with exposure to five major types of childhood maltreatment. We found that: (i) maltreatment types differ in the extent to which they associate with methylomic variation, with physical exposures showing the strongest associations; (ii) many of the identified loci are annotated to genes previously implicated in stress-related outcomes, including psychiatric and physical disorders (e.g. GABBR1, GRIN2D, CACNA2D4, PSEN2); and (iii) based on gene ontology analyses, maltreatment types not only show unique methylation patterns enriched for specific biological processes (e.g. physical abuse and cardiovascular function), but also share a 'common' epigenetic signature enriched for biological processes related to neural development and organismal growth. A stringent set of sensitivity analyses were also run to identify high-confidence associations. Together, findings lend novel insights into epigenetic signatures of childhood abuse and neglect, point to novel potential biomarkers for future investigation and support a molecular link between maltreatment and poor health outcomes. Nevertheless, it will be important in future to replicate findings, as the use of cross-sectional data and high rates of polyvictimization in our study make it difficult to fully disentangle the shared vs unique epigenetic signatures of maltreatment types. Furthermore, studies will be needed to test the role of potential moderators in the identified associations, including age of onset and chronicity of maltreatment exposure.","Cecil CA, Smith RG, Walton E, Mill J, McCrory EJ, Viding E.",J Psychiatr Res. 2016 Dec;83:184-194. doi: 10.1016/j.jpsychires.2016.09.010. Epub 2016 Sep 13.,Cecil CA,J Psychiatr Res,2016,9/20/2016,,,10.1016/j.jpsychires.2016.09.010,Y,Included,EWAS of childhood maltreatment on DNAm
35501310,An epigenetic association analysis of childhood trauma in psychosis reveals possible overlap with methylation changes associated with PTSD,"Patients with a severe mental disorder report significantly higher levels of childhood trauma (CT) than healthy individuals. Studies have suggested that CT may affect brain plasticity through epigenetic mechanisms and contribute to developing various psychiatric disorders. We performed a blood-based epigenome-wide association study using the Childhood Trauma Questionnaire-short form in 602 patients with a current severe mental illness, investigating DNA methylation association separately for five trauma subtypes and the total trauma score. The median trauma score was set as the predefined cutoff for determining whether the trauma was present or not. Additionally, we compared our genome-wide results with methylation probes annotated to candidate genes previously associated with CT. Of the patients, 83.2% reported CT above the cutoff in one or more trauma subtypes, and emotional neglect was the trauma subtype most frequently reported. We identified one significant differently methylated position associated with the gene TANGO6 for physical neglect. Seventeen differentially methylated regions (DMRs) were associated with different trauma categories. Several of these DMRs were annotated to genes previously associated with neuropsychiatric disorders such as post-traumatic stress disorder and cognitive impairments. Our results support a biomolecular association between CT and severe mental disorders. Genes that were previously identified as differentially methylated in CT-exposed subjects with and without psychosis did not show methylation differences in our analysis. We discuss this inconsistency, the relevance of our findings, and the limitations of our study.","Løkhammer S, Stavrum AK, Polushina T, Aas M, Ottesen AA, Andreassen OA, Melle I, Le Hellard S.",Transl Psychiatry. 2022 Apr 30;12(1):177. doi: 10.1038/s41398-022-01936-8.,Løkhammer S,Transl Psychiatry,2022,5/2/2022,PMC9061740,,10.1038/s41398-022-01936-8,Y,Included,EWAS of childhood trauma & DNAm in SMI patients
35914392,Examining the epigenetic mechanisms of childhood adversity and sensitive periods: A gene set-based approach,"Sensitive periods are developmental stages of heightened plasticity when life experiences, including exposure to childhood adversity, have the potential to exert more lasting impacts. Epigenetic mechanisms, including DNA methylation (DNAm), may provide a pathway through which adversity induces long-term biological changes. DNAm shifts may be more likely to occur during sensitive periods, especially within genes that regulate the timing of sensitive periods. Here, we investigated the possibility that childhood adversity during specific life stages is associated with DNAm changes in genes known to regulate the timing and duration of sensitive periods. Genome-wide DNAm profiles came from the Avon Longitudinal Study of Parents and Children (n = 785). We first used principal component analysis (PCA) to summarize DNAm variation across 530 CpG sites mapped to the promoters of 58 genes previously-identified as regulating sensitive periods. Gene-level DNAm summaries were calculated for genes regulating sensitive period opening (ngenes = 15), closing (ngenes = 36), and expression (ngenes = 8). We then performed linear discriminant analysis (LDA) to test associations between seven types of parent-reported, time-varying measures of exposure to childhood adversity and DNAm principal components. To our knowledge, this is the first time LDA has been applied to analyze functionally grouped DNAm data to characterize associations between an environmental exposure and epigenetic differences. Suggestive evidence emerged for associations between sexual or physical abuse as well as financial hardship during middle childhood, and DNAm of genetic pathways regulating sensitive period opening and expression. However, no statistically significant associations were identified after multiple testing correction. Our gene set-based method combining PCA and LDA complements epigenome-wide approaches. Although our results were largely null, these findings provide a proof-of-concept for studying time-varying exposures and gene- or pathway-level epigenetic modifications.","Zhu Y, Lussier AA, Smith ADAC, Simpkin AJ, Suderman MJ, Walton E, Relton CL, Dunn EC.",Psychoneuroendocrinology. 2022 Oct;144:105854. doi: 10.1016/j.psyneuen.2022.105854. Epub 2022 Jun 27.,Zhu Y,Psychoneuroendocrinology,2022,8/1/2022,PMC9885844,NIHMS1867894,10.1016/j.psyneuen.2022.105854,N,Methodological,methodological paper testing gene-set PCA/LDA approach
36012217,Experiences of Trauma and DNA Methylation Profiles among African American Mothers and Children,"Potentially traumatic experiences have been associated with chronic diseases. Epigenetic mechanisms, including DNA methylation (DNAm), have been proposed as an explanation for this association. We examined the association of experiences of trauma with epigenome-wide DNAm among African American mothers (n = 236) and their children aged 3-5 years (n = 232; N = 500), using the Life Events Checklist-5 (LEC) and Traumatic Events Screening Inventory-Parent Report Revised (TESI-PRR). We identified no DNAm sites significantly associated with potentially traumatic experience scores in mothers. One CpG site on the ENOX1 gene was methylome-wide-significant in children (FDR-corrected q-value = 0.05) from the TESI-PRR. This protein-coding gene is associated with mental illness, including unipolar depression, bipolar, and schizophrenia. Future research should further examine the associations between childhood trauma, DNAm, and health outcomes among this understudied and high-risk group. Findings from such longitudinal research may inform clinical and translational approaches to prevent adverse health outcomes associated with epigenetic changes.","Barcelona V, Huang Y, Caceres BA, Newhall KP, Hui Q, Cerdeña JP, Crusto CA, Sun YV, Taylor JY.",Int J Mol Sci. 2022 Aug 11;23(16):8951. doi: 10.3390/ijms23168951.,Barcelona V,Int J Mol Sci,2022,8/26/2022,PMC9408935,,10.3390/ijms23168951,Y,Included,EWAS of trauma in mothers & children
30770782,Establishing a generalized polyepigenetic biomarker for tobacco smoking,"Large-scale epigenome-wide association meta-analyses have identified multiple 'signatures'' of smoking. Drawing on these findings, we describe the construction of a polyepigenetic DNA methylation score that indexes smoking behavior and that can be utilized for multiple purposes in population health research. To validate the score, we use data from two birth cohort studies: The Dunedin Longitudinal Study, followed to age-38 years, and the Environmental Risk Study, followed to age-18 years. Longitudinal data show that changes in DNA methylation accumulate with increased exposure to tobacco smoking and attenuate with quitting. Data from twins discordant for smoking behavior show that smoking influences DNA methylation independently of genetic and environmental risk factors. Physiological data show that changes in DNA methylation track smoking-related changes in lung function and gum health over time. Moreover, DNA methylation changes predict corresponding changes in gene expression in pathways related to inflammation, immune response, and cellular trafficking. Finally, we present prospective data about the link between adverse childhood experiences (ACEs) and epigenetic modifications; these findings document the importance of controlling for smoking-related DNA methylation changes when studying biological embedding of stress in life-course research. We introduce the polyepigenetic DNA methylation score as a tool both for discovery and theory-guided research in epigenetic epidemiology.","Sugden K, Hannon EJ, Arseneault L, Belsky DW, Broadbent JM, Corcoran DL, Hancox RJ, Houts RM, Moffitt TE, Poulton R, Prinz JA, Thomson WM, Williams BS, Wong CCY, Mill J, Caspi A.",Transl Psychiatry. 2019 Feb 15;9(1):92. doi: 10.1038/s41398-019-0430-9.,Sugden K,Transl Psychiatry,2019,2/17/2019,PMC6377665,,10.1038/s41398-019-0430-9,N,Methodological,methodological paper on smoking epigenetic score
38467473,The interaction between polygenic risk score and trauma affects the likelihood of post-traumatic stress disorder in female victims of sexual assault,"Post-traumatic stress disorder (PTSD) is triggered by traumatic events, but genetic vulnerability and a history of childhood trauma may also increase the risk of PTSD onset. Thus, we investigated the interaction between genetic susceptibility according to polygenic risk score (PRS), and traumatic events. We evaluated 68 women with PTSD who had been sexually assaulted and 63 healthy controls with no history of sexual assault. DNA was genotyped using the Infinium Global Screening Array (Illumina, San Diego, CA, USA), and PRS analysis was performed using PRSice. Logistic regression models were also used to determine the interaction between childhood trauma, traumatic life events, and PRS and how they contribute to PTSD risk. We found a significant association between PRS, childhood trauma (p = 0.03; OR = 1.241), and PTSD. There was also an interaction between PRS, traumatic life events, and childhood trauma, particularly physical and emotional neglect (p = 0.028; OR = 1.010). When examining neglect separately, we found a modest association between emotional neglect and PTSD (p = 0.014; OR = 1.086). Our findings highlight the importance of considering genetic vulnerability and traumatic experiences in understanding the etiology of PTSD.","Bugiga AVG, Carvalho CM, Oliveira AM, Coimbra BM, Chehimi SN, Zanardo EA, Kulikowski LD, Mello AF, Ota VK, Mello MF, Belangero SI.",Braz J Psychiatry. 2024;46:e20233335. doi: 10.47626/1516-4446-2023-3335. Epub 2024 Mar 11.,Bugiga AVG,Braz J Psychiatry,2024,3/11/2024,PMC11474442,,10.47626/1516-4446-2023-3335,N,Not EWAS,"genetic study (PRS), not EWAS"
31070508,Prenatal maternal depressive symptoms and infant DNA methylation: a longitudinal epigenome-wide study,"Background: Prenatal maternal stress increases the risk of offspring developmental and psychological difficulties. The biological mechanisms behind these associations are mostly unknown. One explanation suggests that exposure of the fetus to maternal stress may influence DNA methylation. However, this hypothesis is largely based on animal studies, and human studies of candidate genes from single timepoints. Aim: The aim of this study was to investigate if prenatal maternal stress, in the form of maternal depressive symptoms, was associated with variation in genome-wide DNA methylation at two timepoints. Methods: One-hundred and eighty-four mother-child dyads were selected from a population of pregnant women in the Little-in-Norway study. The Edinburgh Postnatal Depression Scale (EPDS) measured maternal depressive symptoms. It was completed by the pregnant mothers between weeks 17 and 32 of gestation. DNA was obtained from infant saliva cells at two timepoints (age 6 weeks and 12 months). DNA methylation was measured in 274 samples from 6 weeks (n = 146) and 12 months (n = 128) using the Illumina Infinium HumanMethylation 450 BeadChip. Linear regression analyses of prenatal maternal depressive symptoms and infant methylation were performed at 6 weeks and 12 months separately, and for both timepoints together using a mixed model. Results: The analyses revealed no significant genome-wide association between maternal depressive symptoms and infant DNA methylation in the separate analyses and for both timepoints together. Conclusions: This sample of pregnant women and their infants living in Norway did not reveal associations between maternal depressive symptoms and infant DNA methylation.","Wikenius E, Myhre AM, Page CM, Moe V, Smith L, Heiervang ER, Undlien DE, LeBlanc M.",Nord J Psychiatry. 2019 May-Jul;73(4-5):257-263. doi: 10.1080/08039488.2019.1613446. Epub 2019 May 9.,Wikenius E,Nord J Psychiatry,2019,5/10/2019,,,10.1080/08039488.2019.1613446,N,Intergenerational,intergenerational; maternal stress
31122292,Identification of dynamic glucocorticoid-induced methylation changes at the FKBP5 locus,"Epigenetic mechanisms may play a major role in the biological embedding of early-life stress (ELS). One proposed mechanism is that glucocorticoid (GC) release following ELS exposure induces long-lasting alterations in DNA methylation (DNAm) of important regulatory genes of the stress response. Here, we investigate the dynamics of GC-dependent methylation changes in key regulatory regions of the FKBP5 locus in which ELS-associated DNAm changes have been reported. We repeatedly measured DNAm in human peripheral blood samples from 2 independent cohorts exposed to the GC agonist dexamethasone (DEX) using a targeted bisulfite sequencing approach, complemented by data from Illumina 450K arrays. We detected differentially methylated CpGs in enhancers co-localizing with GC receptor binding sites after acute DEX treatment (1 h, 3 h, 6 h), which returned to baseline levels within 23 h. These changes withstood correction for immune cell count differences. While we observed main effects of sex, age, body mass index, smoking, and depression symptoms on FKBP5 methylation levels, only the functional FKBP5 SNP (rs1360780) moderated the dynamic changes following DEX. This genotype effect was observed in both cohorts and included sites previously shown to be associated with ELS. Our study highlights that DNAm levels within regulatory regions of the FKBP5 locus show dynamic changes following a GC challenge and suggest that factors influencing the dynamics of this regulation may contribute to the previously reported alterations in DNAm associated with current and past ELS exposure.","Wiechmann T, Röh S, Sauer S, Czamara D, Arloth J, Ködel M, Beintner M, Knop L, Menke A, Binder EB, Provençal N.",Clin Epigenetics. 2019 May 23;11(1):83. doi: 10.1186/s13148-019-0682-5.,Wiechmann T,Clin Epigenetics,2019,5/25/2019,PMC6533766,,10.1186/s13148-019-0682-5,N,Not EWAS,"candidate gene (FKBP5), not EWAS"
29781947,"Childhood Trauma, DNA Methylation of Stress-Related Genes, and Depression: Findings From Two Monozygotic Twin Studies","DNA methylation has been associated with both early life stress and depression. This study examined the combined association of DNA methylation at multiple CpG probes in five stress-related genes with depressive symptoms and tested whether these genes methylation mediated the association between childhood trauma and depression in two monozygotic (MZ) twin studies. The current analysis comprised 119 MZ twin pairs (84 male pairs [mean = 55 years] and 35 female pairs [mean = 36 years]). Peripheral blood DNA methylation of five stress-related genes (BDNF, NR3C1, SLC6A4, MAOA, and MAOB) was quantified by bisulfite pyrosequencing or 450K BeadChip. We applied generalized Poisson linear-mixed models to examine the association between each single CpG methylation and depressive symptoms. The joint associations of multiple CpGs in a single gene or all five stress-related genes as a pathway were tested by weighted truncated product method. Mediation analysis was conducted to test the potential mediating effect of stress gene methylation on the relationship between childhood trauma and depressive symptoms. Multiple CpG probes showed nominal individual associations, but very few survived multiple testing. Gene-based or gene-set approach, however, revealed significant joint associations of DNA methylation in all five stress-related genes with depressive symptoms in both studies. Moreover, two CpG probes in the BDNF and NR3C1 mediated approximately 20% of the association between childhood trauma and depressive symptoms. DNA methylation at multiple CpG sites are jointly associated with depressive symptoms and partly mediates the association between childhood trauma and depression. Our results highlight the importance of testing the combined effects of multiple CpG loci on complex traits and may unravel a molecular mechanism through which adverse early life experiences are biologically embedded.","Peng H, Zhu Y, Strachan E, Fowler E, Bacus T, Roy-Byrne P, Goldberg J, Vaccarino V, Zhao J.",Psychosom Med. 2018 Sep;80(7):599-608. doi: 10.1097/PSY.0000000000000604.,Peng H,Psychosom Med,2018,5/22/2018,PMC6113110,NIHMS967588,10.1097/PSY.0000000000000604,N,Not EWAS,"candidate gene, not epigenome-wide"
24618023,Childhood abuse is associated with methylation of multiple loci in adult DNA,"Childhood abuse is associated with increased adult disease risk, suggesting that processes acting over the long-term, such as epigenetic regulation of gene activity, may be involved. DNA methylation is a critical mechanism in epigenetic regulation. We aimed to establish whether childhood abuse was associated with adult DNA methylation profiles. In 40 males from the 1958 British Birth Cohort we compared genome-wide promoter DNA methylation in blood taken at 45y for those with, versus those without, childhood abuse (n = 12 vs 28). We analysed the promoter methylation of over 20,000 genes and 489 microRNAs, using MeDIP (methylated DNA immunoprecipitation) in triplicate. We found 997 differentially methylated gene promoters (311 hypermethylated and 686 hypomethylated) in association with childhood abuse and these promoters were enriched for genes involved in key cell signaling pathways related to transcriptional regulation and development. Using bisulfite-pyrosequencing, abuse-associated methylation (MeDIP) at the metalloproteinase gene, PM20D1, was validated and then replicated in an additional 27 males. Abuse-associated methylation was observed in 39 microRNAs; in 6 of these, the hypermethylated state was consistent with the hypomethylation of their downstream gene targets. Although distributed across the genome, the differentially methylated promoters associated with child abuse clustered in genome regions of at least one megabase. The observations for child abuse showed little overlap with methylation patterns associated with socioeconomic position. Our observed genome-wide methylation profiles in adult DNA associated with childhood abuse justify the further exploration of epigenetic regulation as a mediating mechanism for long-term health outcomes.","Suderman M, Borghol N, Pappas JJ, Pinto Pereira SM, Pembrey M, Hertzman C, Power C, Szyf M.",BMC Med Genomics. 2014 Mar 11;7:13. doi: 10.1186/1755-8794-7-13.,Suderman M,BMC Med Genomics,2014,3/13/2014,PMC4007631,,10.1186/1755-8794-7-13,Y,Included,EWAS of child abuse & DNAm
38654405,Developmental epigenomic effects of maternal financial problems,"Early-life adversity as neglect or low socioeconomic status is associated with negative physical/mental health outcomes and plays an important role in health trajectories through life. The early-life environment has been shown to be encoded as changes in epigenetic markers that are retained for many years.We investigated the effect of maternal major financial problems (MFP) and material deprivation (MD) on their children's epigenome in the Avon Longitudinal Study of Parents and Children (ALSPAC) cohort. Epigenetic aging, measured with epigenetic clocks, was weakly accelerated with increased MFP. In subsequent EWAS, MFP, and MD showed strong, independent programing effects on children's genomes. MFP in the period from birth to age seven was associated with genome-wide epigenetic modifications on children's genome visible at age 7 and partially remaining at age 15.These results support the hypothesis that physiological processes at least partially explain associations between early-life adversity and health problems later in life. Both maternal stressors (MFP/MD) had similar effects on biological pathways, providing preliminary evidence for the mechanisms underlying the effects of low socioeconomic status in early life and disease outcomes later in life. Understanding these associations is essential to explain disease susceptibility, overall life trajectories and the transition from health to disease.","Holuka C, Menta G, Caro JC, Vögele C, D'Ambrosio C, Turner JD.",Dev Psychopathol. 2025 May;37(2):1004-1017. doi: 10.1017/S095457942400083X. Epub 2024 Apr 24.,Holuka C,Dev Psychopathol,2025,4/23/2024,,,10.1017/S095457942400083X,N,Intergenerational,intergenerational transmission of maternal stress
32203862,The mediating role of KITLG DNA methylation in the association between childhood adversity and cortisol stress reactivity does not replicate in monocytes,"Adverse childhood experiences such as maltreatment or neglect are associated with mental health problems in adulthood. Changes in the regulation of the psychological and physiological stress reaction, mediated via epigenetic modifications, are discussed as potential mechanisms. This study aimed to replicate the role of DNA methylation of the KITLG gene in mediating the association between childhood adversity and stress-induced cortisol reactivity in a sample of adults reporting childhood adversity and a matched control group (N = 60). DNA was extracted from purified CD14+ monocytes and genome-wide DNA methylation was assessed with the 450k BeadChip for targeted replication and exploratory analyses. As previously reported, childhood adversity was associated with significantly lower cortisol reactivity to stress. We could neither replicate the association between KITLG DNA methylation and cortisol stress reactivity nor the association with childhood adversity. Moreover, DNA methylation of the target CpG (cg27512205) was not associated with KITLG mRNA expression in monocytes. Exploratory analyses of array-wide DNA methylation patterns showed no significant results for individual sites after correction for multiple testing - neither in association with childhood trauma nor with adult cortisol stress reactivity. The analysis of differentially methylated regions (DMRs) revealed two significant regions which both mapped to non-coding genes in the association with cortisol stress reactivity. The mediating role of DNA methylation of the KITLG locus in the association between childhood adversity and cortisol stress reactivity could not be replicated in monocytes. In addition to differences in investigated tissue, reasons for non-replication might include differences between samples in age, ethnicity, trauma severity, and cortisol reactivity.","Frach L, Tierling S, Schwaiger M, Moser D, Heinrichs M, Hengstler JG, Walter J, Kumsta R.",Psychoneuroendocrinology. 2020 Jun;116:104653. doi: 10.1016/j.psyneuen.2020.104653. Epub 2020 Mar 20.,Frach L,Psychoneuroendocrinology,2020,3/24/2020,,,10.1016/j.psyneuen.2020.104653,Y,Included,EWAS of childhood adversity & cortisol response; also candidate gene replication
37330044,Stage 2 Registered Report: Epigenetic Intergenerational Transmission: Mothers' Adverse Childhood Experiences and DNA Methylation,"Individual differences in risk for mental disorders over the lifespan are shaped by forces acting before the individual is born-in utero, but likely even earlier, during the mother's own childhood. The environmental epigenetics hypothesis proposes that sustained effects of environmental conditions on gene expression are mediated by epigenetic mechanisms. Recent human studies have shown that adversities in childhood are correlated with DNA methylation (DNAm) in adulthood. In the current study, we tested the following pre-registered hypotheses: Mothers' adverse childhood experiences (ACEs) are correlated with DNAm in peripheral blood during pregnancy (hypothesis 1) and in cord blood samples from newborn infants (hypothesis 2), and women's depression and anxiety symptoms during pregnancy mediate the association between mothers' ACE exposure and prenatal/neonatal DNA methylation (hypothesis 3). Data were from the Avon Longitudinal Study of Parents and Children Accessible Resource for Integrated Epigenomic Studies substudy. Women provided retrospective self-reports during pregnancy of ACE exposure. We conducted an epigenome-wide association study testing whether mothers' ACE exposure, cumulative score (0-10), was associated with DNAm in maternal antenatal blood and infant cord blood in more than 450,000 CpG (point on DNA sequence where cytosine and guanine base pairs are linked by a phosphate, where methylation usually occurs) sites on the Illumina 450K BeadChip. Analyses for cord blood were separated by infant sex, a pre-registered analysis. Hypothesis 1: In 896 mother-infant pairs with available methylation and ACE exposure data, there were no significant associations between mothers' ACE score and DNAm from antenatal peripheral blood, after controlling for covariates. Hypothesis 2: In infant cord blood, there were 5 CpG sites significantly differentially methylated in relation to mothers' ACEs (false discovery rate [FDR] < .05), but only in male offspring. Effect sizes were medium, with partial eta squared values ranging from 0.060 to 0.078. CpG sites were in genes related to mitochondrial function and neuronal development in the cerebellum. Hypothesis 3: There was no mediation by maternal anxiety/depression symptoms found between mothers' ACEs score and DNAm in the significant CpG sites in male cord blood. Mediation was not tested in antenatal peripheral blood, because no direct association between mothers' ACE score and antenatal peripheral blood was found. Our results show that mothers' ACE exposure is associated with DNAm in male offspring, supporting the notion that DNAm could be a marker of intergenerational biological embedding of mothers' childhood adversity. Epigenetic Intergenerational Transmission: Mothers' Adverse Childhood Experiences and DNA Methylation; https://doi.org/10.1016/j.jaac.2020.03.008.","Scorza P, Duarte CS, Lee S, Wu H, Posner J, Baccarelli A, Monk C.",J Am Acad Child Adolesc Psychiatry. 2023 Oct;62(10):1110-1122. doi: 10.1016/j.jaac.2023.02.018. Epub 2023 Jun 15.,Scorza P,J Am Acad Child Adolesc Psychiatry,2023,6/17/2023,PMC10594411,NIHMS1919875,10.1016/j.jaac.2023.02.018,N,Intergenerational,intergenerational transmission of maternal ACEs to infant DNAm
25612291,Borderline personality disorder and childhood maltreatment: a genome-wide methylation analysis,"Early life adversity plays a critical role in the emergence of borderline personality disorder (BPD) and this could occur through epigenetic programming. In this perspective, we aimed to determine whether childhood maltreatment could durably modify epigenetic processes by the means of a whole-genome methylation scan of BPD subjects. Using the Illumina Infinium® HumanMethylation450 BeadChip, global methylation status of DNA extracted from peripheral blood leucocytes was correlated to the severity of childhood maltreatment in 96 BPD subjects suffering from a high level of child adversity and 93 subjects suffering from major depressive disorder (MDD) and reporting a low rate of child maltreatment. Several CpGs within or near the following genes (IL17RA, miR124-3, KCNQ2, EFNB1, OCA2, MFAP2, RPH3AL, WDR60, CST9L, EP400, A2ML1, NT5DC2, FAM163A and SPSB2) were found to be differently methylated, either in BPD compared with MDD or in relation to the severity of childhood maltreatment. A highly relevant biological result was observed for cg04927004 close to miR124-3 that was significantly associated with BPD and severity of childhood maltreatment. miR124-3 codes for a microRNA (miRNA) targeting several genes previously found to be associated with BPD such as NR3C1. Our results highlight the potentially important role played by miRNAs in the etiology of neuropsychiatric disorders such as BPD and the usefulness of using methylome-wide association studies to uncover such candidate genes. Moreover, they offer new understanding of the impact of maltreatments on biological processes leading to diseases and may ultimately result in the identification of relevant biomarkers.","Prados J, Stenz L, Courtet P, Prada P, Nicastro R, Adouan W, Guillaume S, Olié E, Aubry JM, Dayer A, Perroud N.",Genes Brain Behav. 2015 Feb;14(2):177-88. doi: 10.1111/gbb.12197. Epub 2015 Feb 1.,Prados J,Genes Brain Behav,2015,1/23/2015,,,10.1111/gbb.12197,Y,Included,EWAS of childhood maltreatment in BPD
38820651,"Epigenetic signatures of social anxiety, panic disorders and stress experiences: Insights from genome-wide DNA methylation risk scores","Social anxiety disorder (SAD) and panic disorder (PD) are prevalent anxiety disorders characterized by a complex interplay of genetic and environmental factors. Both disorders share overlapping features and often coexist, despite displaying distinct characteristics. Childhood life adversity, overall stressful life events, and genetic factors contribute to the development of these disorders. DNA methylation, an epigenetic modification, has been implicated in the pathogenesis of these diseases. In this study, we investigated whether whole-genome DNA methylation risk scores (MRSs) for SAD risk, severity of social anxiety, childhood life adversity, PD risk, and overall stressful life events were associated with SAD or PD case?control status. Preliminary epigenome-wide association studies (EWASs) for SAD risk, severity of social anxiety, and childhood life adversity were conducted in 66 SAD individuals and 77 healthy controls (HCs). Similarly, EWASs for PD risk and overall stressful life events were performed in 182 PD individuals and 81 HCs. MRSs were calculated from these EWASs. MRSs derived from the EWASs of SAD risk and severity of social anxiety were greater in PD patients than in HCs. Additionally, MRSs derived from the EWASs of overall stressful life events, particularly in PD individuals, were lower in SAD individuals than in HCs. In contrast, MRSs for childhood life adversity or PD risk were not significantly associated with PD or SAD case?control status. These findings highlight the epigenetic features shared in both disorders and the distinctive epigenetic features related to social avoidance in SAD patients, helping to elucidate the epigenetic basis of these disorders.","Ohi K, Fujikane D, Takai K, Kuramitsu A, Muto Y, Sugiyama S, Shioiri T.",Psychiatry Res. 2024 Jul;337:115984. doi: 10.1016/j.psychres.2024.115984. Epub 2024 May 27.,Ohi K,Psychiatry Res,2024,5/31/2024,,,10.1016/j.psychres.2024.115984,N,Methodological,MRS method paper using prelim EWAS
24655651,"Child abuse, depression, and methylation in genes involved with stress, neural plasticity, and brain circuitry","To determine whether epigenetic markers predict dimensional ratings of depression in maltreated children. A genome-wide methylation study was completed using the Illumina 450K BeadChip array in 94 maltreated and 96 healthy nontraumatized children with saliva-derived DNA. The 450K BeadChip does not include any methylation sites in the exact location as sites in candidate genes previously examined in the literature, so a test for replication of prior research findings was not feasible. Methylation in 3 genes emerged as genome-wide-significant predictors of depression: DNA-Binding Protein Inhibitor ID-3 (ID3); Glutamate Receptor, Ionotropic N-methyl-D-aspartate (NMDA) 1 (GRIN1); and Tubulin Polymerization Promoting Protein (TPPP) (p < 5.0 × 10(-7), all analyses). These genes are all biologically relevant with ID3 involved in the stress response, GRIN1 involved in neural plasticity, and TPPP involved in neural circuitry development. Methylation in CpG sites in candidate genes were not predictors of depression at significance levels corrected for whole genome testing, but maltreated and control children did have significantly different ? values after Bonferroni correction at multiple methylation sites in these candidate genes (e.g., BDNF, NR3C1, FKBP5). This study suggests that epigenetic changes in ID3, GRIN1, and TPPP genes, in combination with experiences of maltreatment, may confer risk for depression in children. The study adds to a growing body of literature supporting a role for epigenetic mechanisms in the pathophysiology of stress-related psychiatric disorders. Although epigenetic changes are frequently long lasting, they are not necessarily permanent. Consequently, interventions to reverse the negative biological and behavioral sequelae associated with child maltreatment are briefly discussed.","Weder N, Zhang H, Jensen K, Yang BZ, Simen A, Jackowski A, Lipschitz D, Douglas-Palumberi H, Ge M, Perepletchikova F, O'Loughlin K, Hudziak JJ, Gelernter J, Kaufman J.",J Am Acad Child Adolesc Psychiatry. 2014 Apr;53(4):417-24.e5. doi: 10.1016/j.jaac.2013.12.025. Epub 2014 Jan 27.,Weder N,J Am Acad Child Adolesc Psychiatry,2014,3/25/2014,PMC4126411,NIHMS572461,10.1016/j.jaac.2013.12.025,Y,Included,EWAS of depression in maltreated children
